student_id,datetime,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
S0357,2026-01-28 08:05:56,male,group A,associate's degree,standard,none,63,61,61
S0358,2026-01-28 08:05:57,female,group C,some college,free/reduced,completed,42,66,69
S0359,2026-01-28 08:05:58,male,group D,some college,free/reduced,none,59,62,61
S0360,2026-01-28 08:05:59,female,group D,some college,standard,none,80,90,89
S0361,2026-01-28 08:06:00,female,group B,high school,standard,none,58,62,59
S0362,2026-01-28 08:06:01,male,group B,some high school,standard,completed,85,84,78
S0363,2026-01-28 08:06:02,female,group C,some college,standard,none,52,58,58
S0364,2026-01-28 08:06:03,female,group D,some high school,free/reduced,none,27,34,32
S0365,2026-01-28 08:06:04,male,group C,some college,standard,none,59,60,58
S0366,2026-01-28 08:06:05,male,group A,bachelor's degree,free/reduced,completed,49,58,60
S0367,2026-01-28 08:06:06,male,group C,high school,standard,completed,69,58,53
S0368,2026-01-28 08:06:07,male,group C,bachelor's degree,free/reduced,none,61,66,61
S0369,2026-01-28 08:06:08,female,group A,some high school,free/reduced,none,44,64,58
S0370,2026-01-28 08:06:09,female,group D,some high school,standard,none,73,84,85
S0371,2026-01-28 08:06:10,male,group E,some college,standard,none,84,77,71
S0372,2026-01-28 08:06:11,female,group C,some college,free/reduced,completed,45,73,70
S0373,2026-01-28 08:06:12,male,group D,some high school,standard,none,74,74,72
S0374,2026-01-28 08:06:13,female,group D,some college,standard,completed,82,97,96
S0375,2026-01-28 08:06:14,female,group D,bachelor's degree,standard,none,59,70,73
S0376,2026-01-28 08:06:15,male,group E,associate's degree,free/reduced,none,46,43,41
S0377,2026-01-28 08:06:16,female,group D,some high school,standard,none,80,90,82
S0378,2026-01-28 08:06:17,female,group D,master's degree,free/reduced,completed,85,95,100
S0379,2026-01-28 08:06:18,female,group A,some high school,standard,none,71,83,77
S0380,2026-01-28 08:06:19,male,group A,bachelor's degree,standard,none,66,64,62
S0381,2026-01-28 08:06:20,female,group B,associate's degree,standard,none,80,86,83
S0382,2026-01-28 08:06:21,male,group C,associate's degree,standard,completed,87,100,95
S0383,2026-01-28 08:06:22,male,group C,master's degree,free/reduced,none,79,81,71
S0384,2026-01-28 08:06:23,female,group E,some high school,free/reduced,none,38,49,45
S0385,2026-01-28 08:06:24,female,group A,some high school,free/reduced,none,38,43,43
S0386,2026-01-28 08:06:25,female,group E,some college,standard,none,67,76,75
S0387,2026-01-28 08:06:26,female,group E,bachelor's degree,standard,none,64,73,70
S0388,2026-01-28 08:06:27,female,group C,associate's degree,free/reduced,none,57,78,67
S0389,2026-01-28 08:06:28,female,group D,high school,standard,none,62,64,64
S0390,2026-01-28 08:06:29,male,group D,master's degree,standard,none,73,70,75
S0391,2026-01-28 08:06:30,male,group E,some high school,free/reduced,completed,73,67,59
S0392,2026-01-28 08:06:31,female,group D,some college,standard,none,77,68,77
S0393,2026-01-28 08:06:32,male,group E,some college,standard,none,76,67,67
S0394,2026-01-28 08:06:33,male,group C,associate's degree,standard,completed,57,54,56
S0395,2026-01-28 08:06:34,female,group C,some high school,standard,completed,65,74,77
S0396,2026-01-28 08:06:35,male,group A,high school,free/reduced,none,48,45,41
S0397,2026-01-28 08:06:36,female,group B,high school,free/reduced,none,50,67,63
S0398,2026-01-28 08:06:37,female,group C,associate's degree,standard,none,85,89,95
S0399,2026-01-28 08:06:38,male,group B,some high school,standard,none,74,63,57
S0400,2026-01-28 08:06:39,male,group D,some high school,standard,none,60,59,54
S0401,2026-01-28 08:06:40,female,group C,some high school,standard,completed,59,54,67
S0402,2026-01-28 08:06:41,male,group A,some college,standard,none,53,43,43
S0403,2026-01-28 08:06:42,female,group A,some college,free/reduced,none,49,65,55
S0404,2026-01-28 08:06:43,female,group D,high school,standard,completed,88,99,100
S0405,2026-01-28 08:06:44,female,group C,high school,standard,none,54,59,62
S0406,2026-01-28 08:06:45,female,group C,some high school,standard,none,63,73,68
S0407,2026-01-28 08:06:46,male,group B,associate's degree,standard,completed,65,65,63
S0408,2026-01-28 08:06:47,female,group B,associate's degree,standard,none,82,80,77
S0409,2026-01-28 08:06:48,female,group D,high school,free/reduced,completed,52,57,56
S0410,2026-01-28 08:06:49,male,group D,associate's degree,standard,completed,87,84,85
S0411,2026-01-28 08:06:50,female,group D,master's degree,standard,completed,70,71,74
S0412,2026-01-28 08:06:51,male,group E,some college,standard,completed,84,83,78
S0413,2026-01-28 08:06:52,male,group D,associate's degree,standard,none,71,66,60
S0414,2026-01-28 08:06:53,male,group B,some high school,standard,completed,63,67,67
S0415,2026-01-28 08:06:54,female,group C,bachelor's degree,free/reduced,completed,51,72,79
S0416,2026-01-28 08:06:55,male,group E,high school,standard,none,84,73,69
S0417,2026-01-28 08:06:56,male,group C,bachelor's degree,standard,completed,71,74,68
S0418,2026-01-28 08:06:57,male,group C,associate's degree,standard,none,74,73,67
S0419,2026-01-28 08:06:58,male,group D,some college,standard,none,68,59,62
S0420,2026-01-28 08:06:59,male,group E,high school,free/reduced,completed,57,56,54
S0421,2026-01-28 08:07:00,female,group C,associate's degree,free/reduced,completed,82,93,93
S0422,2026-01-28 08:07:01,female,group D,high school,standard,completed,57,58,64
S0423,2026-01-28 08:07:02,female,group D,master's degree,free/reduced,completed,47,58,67
S0424,2026-01-28 08:07:03,female,group A,some high school,standard,completed,59,85,80
S0425,2026-01-28 08:07:04,male,group B,some college,free/reduced,none,41,39,34
S0426,2026-01-28 08:07:05,female,group C,some college,free/reduced,none,62,67,62
S0427,2026-01-28 08:07:06,male,group C,bachelor's degree,standard,none,86,83,86
S0428,2026-01-28 08:07:07,male,group C,some high school,free/reduced,none,69,71,65
S0429,2026-01-28 08:07:08,male,group A,some high school,free/reduced,none,65,59,53
S0430,2026-01-28 08:07:09,male,group C,some high school,free/reduced,none,68,63,54
S0431,2026-01-28 08:07:10,male,group C,associate's degree,free/reduced,none,64,66,59
S0432,2026-01-28 08:07:11,female,group C,high school,standard,none,61,72,70
S0433,2026-01-28 08:07:12,male,group C,high school,standard,none,61,56,55
S0434,2026-01-28 08:07:13,female,group A,some high school,free/reduced,none,47,59,50
S0435,2026-01-28 08:07:14,male,group C,some high school,standard,none,73,66,66
S0436,2026-01-28 08:07:15,male,group C,some college,free/reduced,completed,50,48,53
S0437,2026-01-28 08:07:16,male,group D,associate's degree,standard,none,75,68,64
S0438,2026-01-28 08:07:17,male,group D,associate's degree,free/reduced,none,75,66,73
S0439,2026-01-28 08:07:18,male,group C,high school,standard,none,70,56,51
S0440,2026-01-28 08:07:19,male,group D,some high school,standard,completed,89,88,82
S0441,2026-01-28 08:07:20,female,group C,some college,standard,completed,67,81,79
S0442,2026-01-28 08:07:21,female,group D,high school,standard,none,78,81,80
S0443,2026-01-28 08:07:22,female,group A,some high school,free/reduced,none,59,73,69
S0444,2026-01-28 08:07:23,female,group B,associate's degree,standard,none,73,83,76
S0445,2026-01-28 08:07:24,male,group A,some high school,free/reduced,none,79,82,73
S0446,2026-01-28 08:07:25,female,group C,some high school,standard,completed,67,74,77
S0447,2026-01-28 08:07:26,male,group D,some college,free/reduced,none,69,66,60
S0448,2026-01-28 08:07:27,male,group C,high school,standard,completed,86,81,80
S0449,2026-01-28 08:07:28,male,group B,high school,standard,none,47,46,42
S0450,2026-01-28 08:07:29,male,group B,associate's degree,standard,none,81,73,72
S0451,2026-01-28 08:07:30,female,group C,some college,free/reduced,completed,64,85,85
S0452,2026-01-28 08:07:31,female,group E,some college,standard,none,100,92,97
S0453,2026-01-28 08:07:32,female,group C,associate's degree,free/reduced,none,65,77,74
S0454,2026-01-28 08:07:33,male,group C,some college,free/reduced,none,65,58,49
S0455,2026-01-28 08:07:34,female,group C,associate's degree,free/reduced,none,53,61,62
S0456,2026-01-28 08:07:35,male,group C,bachelor's degree,free/reduced,none,37,56,47
S0457,2026-01-28 08:07:36,female,group D,bachelor's degree,standard,none,79,89,89
S0458,2026-01-28 08:07:37,male,group D,associate's degree,free/reduced,none,53,54,48
S0459,2026-01-28 08:07:38,female,group E,bachelor's degree,standard,none,100,100,100
S0460,2026-01-28 08:07:39,male,group B,high school,standard,completed,72,65,68
S0461,2026-01-28 08:07:40,male,group C,bachelor's degree,free/reduced,none,53,58,55
S0462,2026-01-28 08:07:41,male,group B,some college,free/reduced,none,54,54,45
S0463,2026-01-28 08:07:42,female,group E,some college,standard,none,71,70,76
S0464,2026-01-28 08:07:43,female,group C,some college,free/reduced,none,77,90,91
S0465,2026-01-28 08:07:44,male,group A,bachelor's degree,standard,completed,75,58,62
S0466,2026-01-28 08:07:45,female,group C,some college,standard,none,84,87,91
S0467,2026-01-28 08:07:46,female,group D,associate's degree,free/reduced,none,26,31,38
S0468,2026-01-28 08:07:47,male,group A,high school,free/reduced,completed,72,67,65
S0469,2026-01-28 08:07:48,female,group A,high school,free/reduced,completed,77,88,85
S0470,2026-01-28 08:07:49,male,group C,some college,standard,none,91,74,76
S0471,2026-01-28 08:07:50,female,group C,associate's degree,standard,completed,83,85,90
S0472,2026-01-28 08:07:51,female,group C,high school,standard,none,63,69,74
S0473,2026-01-28 08:07:52,female,group C,associate's degree,standard,completed,68,86,84
S0474,2026-01-28 08:07:53,female,group D,some high school,standard,none,59,67,61
S0475,2026-01-28 08:07:54,female,group B,associate's degree,standard,completed,90,90,91
S0476,2026-01-28 08:07:55,female,group D,bachelor's degree,standard,completed,71,76,83
S0477,2026-01-28 08:07:56,male,group E,bachelor's degree,standard,completed,76,62,66
S0478,2026-01-28 08:07:57,male,group D,associate's degree,standard,none,80,68,72
S0479,2026-01-28 08:07:58,female,group D,master's degree,standard,none,55,64,70
S0480,2026-01-28 08:07:59,male,group E,associate's degree,standard,none,76,71,67
S0481,2026-01-28 08:08:00,male,group B,high school,standard,completed,73,71,68
S0482,2026-01-28 08:08:01,female,group D,associate's degree,free/reduced,none,52,59,56
S0483,2026-01-28 08:08:02,male,group C,some college,free/reduced,none,68,68,61
S0484,2026-01-28 08:08:03,male,group A,high school,standard,none,59,52,46
S0485,2026-01-28 08:08:04,female,group B,associate's degree,standard,none,49,52,54
S0486,2026-01-28 08:08:05,male,group C,high school,standard,none,70,74,71
S0487,2026-01-28 08:08:06,male,group D,some college,free/reduced,none,61,47,56
S0488,2026-01-28 08:08:07,female,group C,associate's degree,free/reduced,none,60,75,74
S0489,2026-01-28 08:08:08,male,group B,some high school,standard,completed,64,53,57
S0490,2026-01-28 08:08:09,male,group A,associate's degree,free/reduced,completed,79,82,82
S0491,2026-01-28 08:08:10,female,group A,associate's degree,free/reduced,none,65,85,76
S0492,2026-01-28 08:08:11,female,group C,associate's degree,standard,none,64,64,70
S0493,2026-01-28 08:08:12,female,group C,some college,standard,none,83,83,90
S0494,2026-01-28 08:08:13,female,group C,bachelor's degree,standard,none,81,88,90
S0495,2026-01-28 08:08:14,female,group B,high school,standard,none,54,64,68
S0496,2026-01-28 08:08:15,male,group D,high school,standard,completed,68,64,66
S0497,2026-01-28 08:08:16,female,group C,some college,standard,none,54,48,52
S0498,2026-01-28 08:08:17,female,group D,some college,free/reduced,completed,59,78,76
S0499,2026-01-28 08:08:18,female,group B,some high school,standard,none,66,69,68
S0500,2026-01-28 08:08:19,male,group E,some college,standard,none,76,71,72
S0501,2026-01-28 08:08:20,female,group D,master's degree,standard,none,74,79,82
S0502,2026-01-28 08:08:21,female,group B,associate's degree,standard,completed,94,87,92
S0503,2026-01-28 08:08:22,male,group C,some college,free/reduced,none,63,61,54
S0504,2026-01-28 08:08:23,female,group E,associate's degree,standard,completed,95,89,92
S0505,2026-01-28 08:08:24,female,group D,master's degree,free/reduced,none,40,59,54
S0506,2026-01-28 08:08:25,female,group B,some high school,standard,none,82,82,80
S0507,2026-01-28 08:08:26,male,group A,high school,standard,none,68,70,66
S0508,2026-01-28 08:08:27,male,group B,bachelor's degree,free/reduced,none,55,59,54
S0509,2026-01-28 08:08:28,male,group C,master's degree,standard,none,79,78,77
S0510,2026-01-28 08:08:29,female,group C,bachelor's degree,standard,none,86,92,87
S0511,2026-01-28 08:08:30,male,group D,some college,standard,none,76,71,73
S0512,2026-01-28 08:08:31,male,group A,some high school,standard,none,64,50,43
S0513,2026-01-28 08:08:32,male,group D,some high school,free/reduced,none,62,49,52
S0514,2026-01-28 08:08:33,female,group B,some high school,standard,completed,54,61,62
S0515,2026-01-28 08:08:34,female,group B,master's degree,free/reduced,completed,77,97,94
S0516,2026-01-28 08:08:35,female,group C,some high school,standard,completed,76,87,85
S0517,2026-01-28 08:08:36,female,group D,some college,standard,none,74,89,84
S0518,2026-01-28 08:08:37,female,group E,some college,standard,completed,66,74,73
S0519,2026-01-28 08:08:38,female,group D,some high school,standard,completed,66,78,78
S0520,2026-01-28 08:08:39,female,group B,high school,free/reduced,completed,67,78,79
S0521,2026-01-28 08:08:40,male,group D,some college,standard,none,71,49,52
S0522,2026-01-28 08:08:41,female,group C,associate's degree,standard,none,91,86,84
S0523,2026-01-28 08:08:42,male,group D,bachelor's degree,standard,none,69,58,57
S0524,2026-01-28 08:08:43,male,group C,master's degree,free/reduced,none,54,59,50
S0525,2026-01-28 08:08:44,male,group C,high school,standard,completed,53,52,49
S0526,2026-01-28 08:08:45,male,group E,some college,standard,none,68,60,59
S0527,2026-01-28 08:08:46,male,group C,some high school,free/reduced,completed,56,61,60
S0528,2026-01-28 08:08:47,female,group C,high school,free/reduced,none,36,53,43
S0529,2026-01-28 08:08:48,female,group D,bachelor's degree,free/reduced,none,29,41,47
S0530,2026-01-28 08:08:49,female,group C,associate's degree,standard,none,62,74,70
S0531,2026-01-28 08:08:50,female,group C,associate's degree,standard,completed,68,67,73
S0532,2026-01-28 08:08:51,female,group C,some high school,standard,none,47,54,53
S0533,2026-01-28 08:08:52,male,group E,associate's degree,standard,completed,62,61,58
S0534,2026-01-28 08:08:53,female,group E,associate's degree,standard,completed,79,88,94
S0535,2026-01-28 08:08:54,male,group B,high school,standard,completed,73,69,68
S0536,2026-01-28 08:08:55,female,group C,bachelor's degree,free/reduced,completed,66,83,83
S0537,2026-01-28 08:08:56,male,group C,associate's degree,standard,completed,51,60,58
S0538,2026-01-28 08:08:57,female,group D,high school,standard,none,51,66,62
S0539,2026-01-28 08:08:58,male,group E,bachelor's degree,standard,completed,85,66,71
S0540,2026-01-28 08:08:59,male,group A,associate's degree,standard,completed,97,92,86
S0541,2026-01-28 08:09:00,male,group C,high school,standard,completed,75,69,68
S0542,2026-01-28 08:09:01,male,group D,associate's degree,free/reduced,completed,79,82,80
S0543,2026-01-28 08:09:02,female,group C,associate's degree,standard,none,81,77,79
S0544,2026-01-28 08:09:03,female,group D,associate's degree,standard,none,82,95,89
S0545,2026-01-28 08:09:04,female,group D,master's degree,standard,none,64,63,66
S0546,2026-01-28 08:09:05,male,group E,some high school,free/reduced,completed,78,83,80
S0547,2026-01-28 08:09:06,female,group A,some high school,standard,completed,92,100,97
S0548,2026-01-28 08:09:07,male,group C,high school,standard,completed,72,67,64
S0549,2026-01-28 08:09:08,female,group C,high school,free/reduced,none,62,67,64
S0550,2026-01-28 08:09:09,male,group C,master's degree,standard,none,79,72,69
S0551,2026-01-28 08:09:10,male,group C,some high school,free/reduced,none,79,76,65
S0552,2026-01-28 08:09:11,male,group B,bachelor's degree,free/reduced,completed,87,90,88
S0553,2026-01-28 08:09:12,female,group B,associate's degree,standard,none,40,48,50
S0554,2026-01-28 08:09:13,male,group D,some college,free/reduced,none,77,62,64
S0555,2026-01-28 08:09:14,male,group E,associate's degree,standard,none,53,45,40
S0556,2026-01-28 08:09:15,female,group C,some college,free/reduced,none,32,39,33
S0557,2026-01-28 08:09:16,female,group C,associate's degree,standard,completed,55,72,79
S0558,2026-01-28 08:09:17,male,group C,master's degree,free/reduced,none,61,67,66
S0559,2026-01-28 08:09:18,female,group B,associate's degree,free/reduced,none,53,70,70
S0560,2026-01-28 08:09:19,male,group D,some high school,standard,none,73,66,62
S0561,2026-01-28 08:09:20,female,group D,some college,standard,completed,74,75,79
S0562,2026-01-28 08:09:21,female,group C,some college,standard,none,63,74,74
S0563,2026-01-28 08:09:22,male,group C,bachelor's degree,standard,completed,96,90,92
S0564,2026-01-28 08:09:23,female,group D,some college,free/reduced,completed,63,80,80
S0565,2026-01-28 08:09:24,male,group B,bachelor's degree,free/reduced,none,48,51,46
S0566,2026-01-28 08:09:25,male,group B,associate's degree,standard,none,48,43,45
S0567,2026-01-28 08:09:26,female,group E,bachelor's degree,free/reduced,completed,92,100,100
S0568,2026-01-28 08:09:27,female,group D,master's degree,free/reduced,completed,61,71,78
S0569,2026-01-28 08:09:28,male,group B,high school,free/reduced,none,63,48,47
S0570,2026-01-28 08:09:29,male,group D,bachelor's degree,free/reduced,none,68,68,67
S0571,2026-01-28 08:09:30,male,group B,some college,standard,completed,71,75,70
S0572,2026-01-28 08:09:31,male,group A,bachelor's degree,standard,none,91,96,92
S0573,2026-01-28 08:09:32,female,group C,some college,standard,none,53,62,56
S0574,2026-01-28 08:09:33,female,group C,high school,free/reduced,completed,50,66,64
S0575,2026-01-28 08:09:34,female,group E,high school,standard,none,74,81,71
S0576,2026-01-28 08:09:35,male,group A,associate's degree,free/reduced,completed,40,55,53
S0577,2026-01-28 08:09:36,male,group A,some college,standard,completed,61,51,52
S0578,2026-01-28 08:09:37,female,group B,high school,standard,none,81,91,89
S0579,2026-01-28 08:09:38,female,group B,some college,free/reduced,completed,48,56,58
S0580,2026-01-28 08:09:39,female,group D,master's degree,standard,none,53,61,68
S0581,2026-01-28 08:09:40,female,group D,some high school,standard,none,81,97,96
S0582,2026-01-28 08:09:41,female,group E,some high school,standard,none,77,79,80
S0583,2026-01-28 08:09:42,female,group D,bachelor's degree,free/reduced,none,63,73,78
S0584,2026-01-28 08:09:43,female,group D,associate's degree,standard,completed,73,75,80
S0585,2026-01-28 08:09:44,female,group D,some college,standard,none,69,77,77
S0586,2026-01-28 08:09:45,female,group C,associate's degree,standard,none,65,76,76
S0587,2026-01-28 08:09:46,female,group A,high school,standard,none,55,73,73
S0588,2026-01-28 08:09:47,female,group C,bachelor's degree,free/reduced,none,44,63,62
S0589,2026-01-28 08:09:48,female,group C,some college,standard,none,54,64,65
S0590,2026-01-28 08:09:49,female,group A,some high school,standard,none,48,66,65
S0591,2026-01-28 08:09:50,male,group C,some college,free/reduced,none,58,57,54
S0592,2026-01-28 08:09:51,male,group A,some high school,standard,none,71,62,50
S0593,2026-01-28 08:09:52,male,group E,bachelor's degree,standard,none,68,68,64
S0594,2026-01-28 08:09:53,female,group E,high school,standard,none,74,76,73
S0595,2026-01-28 08:09:54,female,group C,bachelor's degree,standard,completed,92,100,99
S0596,2026-01-28 08:09:55,female,group C,bachelor's degree,standard,completed,56,79,72
S0597,2026-01-28 08:09:56,male,group B,high school,free/reduced,none,30,24,15
S0598,2026-01-28 08:09:57,male,group A,some high school,standard,none,53,54,48
S0599,2026-01-28 08:09:58,female,group D,high school,standard,none,69,77,73
S0600,2026-01-28 08:09:59,female,group D,some high school,standard,none,65,82,81
S0601,2026-01-28 08:10:00,female,group D,master's degree,standard,none,54,60,63
S0602,2026-01-28 08:10:01,female,group C,high school,standard,none,29,29,30
S0603,2026-01-28 08:10:02,female,group E,some college,standard,none,76,78,80
S0604,2026-01-28 08:10:03,male,group D,high school,free/reduced,none,60,57,51
S0605,2026-01-28 08:10:04,male,group D,master's degree,free/reduced,completed,84,89,90
S0606,2026-01-28 08:10:05,male,group C,some high school,standard,none,75,72,62
S0607,2026-01-28 08:10:06,female,group C,associate's degree,standard,none,85,84,82
S0608,2026-01-28 08:10:07,female,group C,master's degree,free/reduced,none,40,58,54
S0609,2026-01-28 08:10:08,female,group E,some college,standard,none,61,64,62
S0610,2026-01-28 08:10:09,female,group B,associate's degree,standard,none,58,63,65
S0611,2026-01-28 08:10:10,male,group D,some college,free/reduced,completed,69,60,63
S0612,2026-01-28 08:10:11,female,group C,some college,standard,none,58,59,66
S0613,2026-01-28 08:10:12,male,group C,bachelor's degree,standard,completed,94,90,91
S0614,2026-01-28 08:10:13,female,group C,associate's degree,standard,none,65,77,74
S0615,2026-01-28 08:10:14,female,group A,associate's degree,standard,none,82,93,93
S0616,2026-01-28 08:10:15,female,group C,high school,standard,none,60,68,72
S0617,2026-01-28 08:10:16,female,group E,bachelor's degree,standard,none,37,45,38
S0618,2026-01-28 08:10:17,male,group D,bachelor's degree,standard,none,88,78,83
S0619,2026-01-28 08:10:18,male,group D,master's degree,standard,none,95,81,84
S0620,2026-01-28 08:10:19,male,group C,associate's degree,free/reduced,completed,65,73,68
S0621,2026-01-28 08:10:20,female,group C,high school,free/reduced,none,35,61,54
S0622,2026-01-28 08:10:21,male,group B,bachelor's degree,free/reduced,none,62,63,56
S0623,2026-01-28 08:10:22,male,group C,high school,free/reduced,completed,58,51,52
S0624,2026-01-28 08:10:23,male,group A,some college,standard,completed,100,96,86
S0625,2026-01-28 08:10:24,female,group E,bachelor's degree,free/reduced,none,61,58,62
S0626,2026-01-28 08:10:25,male,group D,some college,standard,completed,100,97,99
S0627,2026-01-28 08:10:26,male,group B,associate's degree,free/reduced,completed,69,70,63
S0628,2026-01-28 08:10:27,male,group D,associate's degree,standard,none,61,48,46
S0629,2026-01-28 08:10:28,male,group D,some college,free/reduced,none,49,57,46
S0630,2026-01-28 08:10:29,female,group C,some high school,standard,completed,44,51,55
S0631,2026-01-28 08:10:30,male,group D,some college,standard,none,67,64,70
S0632,2026-01-28 08:10:31,male,group B,high school,standard,none,79,60,65
S0633,2026-01-28 08:10:32,female,group B,bachelor's degree,standard,completed,66,74,81
S0634,2026-01-28 08:10:33,female,group C,high school,standard,none,75,88,85
S0635,2026-01-28 08:10:34,male,group D,some high school,standard,none,84,84,80
S0636,2026-01-28 08:10:35,male,group A,high school,standard,none,71,74,64
S0637,2026-01-28 08:10:36,female,group B,high school,free/reduced,completed,67,80,81
S0638,2026-01-28 08:10:37,female,group D,some high school,standard,completed,80,92,88
S0639,2026-01-28 08:10:38,male,group E,some college,standard,none,86,76,74
S0640,2026-01-28 08:10:39,female,group D,associate's degree,standard,none,76,74,73
S0641,2026-01-28 08:10:40,male,group D,high school,standard,none,41,52,51
S0642,2026-01-28 08:10:41,female,group D,associate's degree,free/reduced,completed,74,88,90
S0643,2026-01-28 08:10:42,female,group B,some high school,free/reduced,none,72,81,79
S0644,2026-01-28 08:10:43,female,group E,high school,standard,completed,74,79,80
S0645,2026-01-28 08:10:44,male,group B,high school,standard,none,70,65,60
S0646,2026-01-28 08:10:45,female,group B,bachelor's degree,standard,completed,65,81,81
S0647,2026-01-28 08:10:46,female,group D,associate's degree,standard,none,59,70,65
S0648,2026-01-28 08:10:47,female,group E,high school,free/reduced,none,64,62,68
S0649,2026-01-28 08:10:48,female,group B,high school,standard,none,50,53,55
S0650,2026-01-28 08:10:49,female,group D,some college,standard,completed,69,79,81
S0651,2026-01-28 08:10:50,male,group C,some high school,free/reduced,completed,51,56,53
S0652,2026-01-28 08:10:51,female,group A,high school,standard,completed,68,80,76
S0653,2026-01-28 08:10:52,female,group D,some college,standard,completed,85,86,98
S0654,2026-01-28 08:10:53,female,group A,associate's degree,standard,completed,65,70,74
S0655,2026-01-28 08:10:54,female,group B,some high school,standard,none,73,79,79
S0656,2026-01-28 08:10:55,female,group B,some college,standard,none,62,67,67
S0657,2026-01-28 08:10:56,male,group C,associate's degree,free/reduced,none,77,67,64
S0658,2026-01-28 08:10:57,male,group D,some high school,standard,none,69,66,61
S0659,2026-01-28 08:10:58,female,group D,associate's degree,free/reduced,none,43,60,58
S0660,2026-01-28 08:10:59,male,group D,associate's degree,standard,none,90,87,85
S0661,2026-01-28 08:11:00,male,group C,some college,free/reduced,none,74,77,73
S0662,2026-01-28 08:11:01,male,group C,some high school,standard,none,73,66,63
S0663,2026-01-28 08:11:02,female,group D,some college,free/reduced,none,55,71,69
S0664,2026-01-28 08:11:03,female,group C,high school,standard,none,65,69,67
S0665,2026-01-28 08:11:04,male,group D,associate's degree,standard,none,80,63,63
S0666,2026-01-28 08:11:05,female,group C,some high school,free/reduced,completed,50,60,60
S0667,2026-01-28 08:11:06,female,group C,some college,free/reduced,completed,63,73,71
S0668,2026-01-28 08:11:07,female,group B,bachelor's degree,free/reduced,none,77,85,87
S0669,2026-01-28 08:11:08,male,group C,some college,standard,none,73,74,61
S0670,2026-01-28 08:11:09,male,group D,associate's degree,standard,completed,81,72,77
S0671,2026-01-28 08:11:10,female,group C,high school,free/reduced,none,66,76,68
S0672,2026-01-28 08:11:11,male,group D,associate's degree,free/reduced,none,52,57,50
S0673,2026-01-28 08:11:12,female,group C,some college,standard,none,69,78,76
S0674,2026-01-28 08:11:13,female,group C,associate's degree,standard,completed,65,84,84
S0675,2026-01-28 08:11:14,female,group D,high school,standard,completed,69,77,78
S0676,2026-01-28 08:11:15,female,group B,some college,standard,completed,50,64,66
S0677,2026-01-28 08:11:16,female,group E,some college,standard,completed,73,78,76
S0678,2026-01-28 08:11:17,female,group C,some high school,standard,completed,70,82,76
S0679,2026-01-28 08:11:18,male,group D,associate's degree,free/reduced,none,81,75,78
S0680,2026-01-28 08:11:19,male,group D,some college,free/reduced,none,63,61,60
S0681,2026-01-28 08:11:20,female,group D,high school,standard,none,67,72,74
S0682,2026-01-28 08:11:21,male,group B,high school,standard,none,60,68,60
S0683,2026-01-28 08:11:22,male,group B,high school,standard,none,62,55,54
S0684,2026-01-28 08:11:23,female,group C,some high school,free/reduced,completed,29,40,44
S0685,2026-01-28 08:11:24,male,group B,some college,standard,completed,62,66,68
S0686,2026-01-28 08:11:25,female,group E,master's degree,standard,completed,94,99,100
S0687,2026-01-28 08:11:26,male,group E,some college,standard,completed,85,75,68
S0688,2026-01-28 08:11:27,male,group D,associate's degree,free/reduced,none,77,78,73
S0689,2026-01-28 08:11:28,male,group A,high school,free/reduced,none,53,58,44
S0690,2026-01-28 08:11:29,male,group E,some college,free/reduced,none,93,90,83
S0691,2026-01-28 08:11:30,female,group C,associate's degree,standard,none,49,53,53
S0692,2026-01-28 08:11:31,female,group E,associate's degree,free/reduced,none,73,76,78
S0693,2026-01-28 08:11:32,female,group C,bachelor's degree,free/reduced,completed,66,74,81
S0694,2026-01-28 08:11:33,female,group D,associate's degree,standard,none,77,77,73
S0695,2026-01-28 08:11:34,female,group C,some high school,standard,none,49,63,56
S0696,2026-01-28 08:11:35,female,group D,some college,free/reduced,none,79,89,86
S0697,2026-01-28 08:11:36,female,group C,associate's degree,standard,completed,75,82,90
S0698,2026-01-28 08:11:37,female,group A,bachelor's degree,standard,none,59,72,70
S0699,2026-01-28 08:11:38,female,group D,associate's degree,standard,completed,57,78,79
S0700,2026-01-28 08:11:39,male,group C,high school,free/reduced,none,66,66,59
S0701,2026-01-28 08:11:40,female,group E,bachelor's degree,standard,completed,79,81,82
S0702,2026-01-28 08:11:41,female,group B,some high school,standard,none,57,67,72
S0703,2026-01-28 08:11:42,male,group A,bachelor's degree,standard,completed,87,84,87
S0704,2026-01-28 08:11:43,female,group D,some college,standard,none,63,64,67
S0705,2026-01-28 08:11:44,female,group B,some high school,free/reduced,completed,59,63,64
S0706,2026-01-28 08:11:45,male,group A,bachelor's degree,free/reduced,none,62,72,65
S0707,2026-01-28 08:11:46,male,group D,high school,standard,none,46,34,36
S0708,2026-01-28 08:11:47,male,group C,some college,standard,none,66,59,52
S0709,2026-01-28 08:11:48,male,group D,high school,standard,none,89,87,79
S0710,2026-01-28 08:11:49,female,group D,associate's degree,free/reduced,completed,42,61,58
S0711,2026-01-28 08:11:50,male,group C,some college,standard,completed,93,84,90
S0712,2026-01-28 08:11:51,female,group E,some high school,standard,completed,80,85,85
S0713,2026-01-28 08:11:52,female,group D,some college,standard,none,98,100,99
